Gene Omega Class
FBgn0000097 0.07563 plei
FBgn0000146 0.09047 plei
FBgn0000158 0.21862 plei
FBgn0000173 0.00091 plei
FBgn0000229 0.01076 plei
FBgn0000250 0.11839 plei
FBgn0000251 0.05786 plei
FBgn0000261 0.03255 plei
FBgn0000320 0.05014 plei
FBgn0000422 0.04004 plei
FBgn0000490 0.12456 plei
FBgn0000533 0.06081 plei
FBgn0000543 0.05415 plei
FBgn0000546 0.08411 plei
FBgn0001108 0.03562 plei
FBgn0001247 0.04019 plei
FBgn0001297 0.15502 plei
FBgn0001311 0.02178 plei
FBgn0001319 0.02614 plei
FBgn0001325 0.04212 plei
FBgn0001404 0.01273 plei
FBgn0001965 0.0479 plei
FBgn0002440 0.15819 plei
FBgn0002525 0.06773 plei
FBgn0002565 0.06679 plei
FBgn0002775 0.08841 plei
FBgn0002783 0.03556 plei
FBgn0003079 0.02925 plei
FBgn0003091 0.01801 plei
FBgn0003117 0.04374 plei
FBgn0003118 0.09845 plei
FBgn0003162 0.06031 plei
FBgn0003205 0.01071 plei
FBgn0003317 0.03947 plei
FBgn0003483 0.12888 plei
FBgn0003495 0.2166 plei
FBgn0003612 0.05109 plei
FBgn0003731 0.0498 plei
FBgn0003882 0.13445 plei
FBgn0004197 0.05504 plei
FBgn0004364 0.03174 plei
FBgn0004396 0.08709 plei
FBgn0004419 0.01127 plei
FBgn0004435 0.03233 plei
FBgn0004507 0.01826 plei
FBgn0004636 0.00289 plei
FBgn0004644 0.08514 plei
FBgn0004837 0.01887 plei
FBgn0004859 0.09174 plei
FBgn0004864 0.09406 plei
FBgn0004872 0.07748 plei
FBgn0004921 0.02686 plei
FBgn0004956 0.06215 plei
FBgn0005626 0.03854 plei
FBgn0008635 0.02101 plei
FBgn0010223 0.05438 plei
FBgn0010333 0.01533 plei
FBgn0010341 0.00746 plei
FBgn0010379 0.05755 plei
FBgn0010395 0.08329 plei
FBgn0010415 0.20838 plei
FBgn0010441 0.06416 plei
FBgn0010453 0.06406 plei
FBgn0010602 0.00219 plei
FBgn0010622 0.0456 plei
FBgn0010812 0.03749 plei
FBgn0011202 0.04075 plei
FBgn0011236 0.04431 plei
FBgn0011274 0.11993 plei
FBgn0011296 0.02538 plei
FBgn0011722 0.06625 plei
FBgn0011766 0.13689 plei
FBgn0013272 0.09404 plei
FBgn0013755 0.04971 plei
FBgn0013762 0.00738 plei
FBgn0013799 0.05979 plei
FBgn0013983 0.0698 plei
FBgn0014011 0.0097 plei
FBgn0014018 0.1162 plei
FBgn0014020 0.00633 plei
FBgn0014141 0.01917 plei
FBgn0014179 0.07667 plei
FBgn0014380 0.05072 plei
FBgn0015239 0.06053 plei
FBgn0015247 0.09155 plei
FBgn0015286 0.13213 plei
FBgn0015381 0.04374 plei
FBgn0015402 0.06251 plei
FBgn0015513 0.04153 plei
FBgn0015575 0.0681 plei
FBgn0015765 0.02819 plei
FBgn0015795 0.0167 plei
FBgn0015946 0.12572 plei
FBgn0016078 0.12061 plei
FBgn0016687 0.08815 plei
FBgn0016917 0.09473 plei
FBgn0019637 0.04981 plei
FBgn0020381 0.16144 plei
FBgn0020414 0.08427 plei
FBgn0020497 0.01531 plei
FBgn0021814 0.01148 plei
FBgn0021895 0.06755 plei
FBgn0022764 0.07609 plei
FBgn0022800 0.08611 plei
FBgn0023214 0.06624 plei
FBgn0024248 0.09565 plei
FBgn0024326 0.02744 plei
FBgn0024846 0.01668 plei
FBgn0024913 0.14172 plei
FBgn0025936 0.0416 plei
FBgn0026319 0.0482 plei
FBgn0026323 0.06735 plei
FBgn0026379 0.21847 plei
FBgn0026404 0.16976 plei
FBgn0027053 0.00404 plei
FBgn0027066 0.09356 plei
FBgn0027095 0.0379 plei
FBgn0027363 0.07899 plei
FBgn0027491 0.04539 plei
FBgn0027594 0.05972 plei
FBgn0027603 0.24584 plei
FBgn0028375 0.03915 plei
FBgn0028430 0.68236 plei
FBgn0028514 0.16295 plei
FBgn0028707 0.0765 plei
